# Weather station Chofu (airport), Japan, METAR=RJTF,selection from 01.01.2020 till 31.12.2020, all days,,,,,,,,
# Encoding: ANSI,,,,,,,,,,,,
"# The data is provided by the website ""Reliable Prognosis""", rp5.ru,,,,,,,,,,,
# If you use the data, please indicate the name of the website.,,,,,,,,,,,
,,,,,,,,,,,,
#,,,,,,,,,,,,
Local time in Chofu (airport),T,P0,P,U,DD,Ff,ff10,WW,W'W',c,VV,Td
31.12.2020 16:00,6,753,756.9,22,Wind blowing from the east-southeast,2,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 3000 m",10.0 and more,-14
31.12.2020 15:00,7,753,756.9,21,Wind blowing from the east-southeast,3,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 3000 m",10.0 and more,-14
31.12.2020 14:00,7,752.3,756.2,23,variable wind direction,2,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 3000 m",10.0 and more,-13
31.12.2020 13:00,6,752.3,756.2,22,Wind blowing from the east-northeast,3,,,,Few clouds (10-30%) 900 m,10.0 and more,-14
31.12.2020 12:00,6,753,756.9,22,Wind blowing from the north-northeast,4,,,,Few clouds (10-30%) 900 m,10.0 and more,-14
31.12.2020 11:00,5,753,756.9,24,variable wind direction,2,,,,Few clouds (10-30%) 900 m,10.0 and more,-14
31.12.2020 10:00,5,753.8,757.7,26,Wind blowing from the north-northeast,4,,,,Few clouds (10-30%) 900 m,10.0 and more,-13
31.12.2020 09:00,3,753.8,757.7,33,Wind blowing from the north,2,,,,Few clouds (10-30%) 900 m,10.0 and more,-12
31.12.2020 08:30,3,753,756.9,33,variable wind direction,1,,,,Few clouds (10-30%) 900 m,10.0 and more,-12
30.12.2020 16:00,12,736.7,740.4,58,Wind blowing from the south-east,3,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 1200 m",10.0 and more,4
30.12.2020 15:00,13,735.9,739.6,55,variable wind direction,1,,,,"Few clouds (10-30%) 900 m, broken clouds (60-90%) 1200 m",10.0 and more,4
30.12.2020 14:00,13,735.2,738.9,51,Wind blowing from the east-northeast,3,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 1500 m",10.0 and more,3
30.12.2020 13:00,12,736.7,740.4,54,Wind blowing from the north-northeast,3,,,,"Few clouds (10-30%) 600 m, scattered clouds (40-50%) 900 m",10.0 and more,3
30.12.2020 12:00,12,737.5,741.2,58,Wind blowing from the north,4,,,,"Few clouds (10-30%) 450 m, broken clouds (60-90%) 900 m",10.0 and more,4
30.12.2020 11:00,7,738.6,742.4,76,Wind blowing from the north,3,,,,"Few clouds (10-30%) 300 m, scattered clouds (40-50%) 450 m, broken clouds (60-90%) 750 m",10.0 and more,3
30.12.2020 10:00,5,740.2,744,87,Wind blowing from the north-northwest,2,,"Light shower(s), rain",,"Few clouds (10-30%) 300 m, broken clouds (60-90%) 450 m, broken clouds (60-90%) 1500 m",6,3
30.12.2020 09:00,4,740.9,744.7,93,variable wind direction,2,,"Light shower(s), rain, mist",,"Few clouds (10-30%) 360 m, scattered clouds (40-50%) 750 m, broken clouds (60-90%) 2400 m",5,3
29.12.2020 16:00,12,756.7,760.5,54,Wind blowing from the east,2,,,,"Few clouds (10-30%) 900 m, broken clouds (60-90%)",10.0 and more,3
29.12.2020 15:00,12,758.2,762,51,Wind blowing from the north,2,,,,"Few clouds (10-30%) 900 m, broken clouds (60-90%)",10.0 and more,2
29.12.2020 14:00,12,759,762.8,51,Wind blowing from the north,2,,,,"Few clouds (10-30%) 900 m, broken clouds (60-90%)",10.0 and more,2
29.12.2020 13:00,12,759,762.8,51,Wind blowing from the north,3,,,,"Few clouds (10-30%) 900 m, broken clouds (60-90%)",10.0 and more,2
29.12.2020 12:00,11,760.5,764.3,54,Wind blowing from the north,4,,,,"Few clouds (10-30%) 900 m, broken clouds (60-90%)",10.0 and more,2
29.12.2020 11:00,12,761.2,765,51,Wind blowing from the north,3,,,,"Few clouds (10-30%) 900 m, broken clouds (60-90%)",10.0 and more,2
29.12.2020 10:00,10,761.9,765.8,58,Wind blowing from the south-east,2,,,,"Few clouds (10-30%) 900 m, broken clouds (60-90%)",10.0 and more,2
29.12.2020 09:00,7,761.9,765.8,76,variable wind direction,1,,,,"Few clouds (10-30%) 900 m, broken clouds (60-90%)",10.0 and more,3
29.12.2020 08:30,5,761.9,765.8,81,variable wind direction,1,,,,"Few clouds (10-30%) 600 m, broken clouds (60-90%)",10.0 and more,2
28.12.2020 16:00,12,757.4,761.2,51,Wind blowing from the south-southeast,1,,,,No Significant Clouds,10.0 and more,2
28.12.2020 15:00,13,757.4,761.2,47,Wind blowing from the south-southeast,2,,,,No Significant Clouds,10.0 and more,2
28.12.2020 14:00,13,757.4,761.2,51,variable wind direction,1,,,,No Significant Clouds,10.0 and more,3
28.12.2020 13:00,11,758.2,762,62,variable wind direction,1,,,,No Significant Clouds,10.0 and more,4
28.12.2020 12:00,10,758.9,762.8,67,Wind blowing from the north-northeast,2,,,,No Significant Clouds,10.0 and more,4
28.12.2020 11:00,9,759.6,763.5,66,variable wind direction,1,,,,No Significant Clouds,10.0 and more,3
28.12.2020 10:00,8,759.6,763.5,71,Wind blowing from the south-southeast,2,,,,"Few clouds (10-30%) 1200 m, scattered clouds (40-50%) 3000 m, broken clouds (60-90%) 3900 m",10.0 and more,3
28.12.2020 09:00,7,760.4,764.3,76,"Calm, no wind",0,,,,"Few clouds (10-30%) 1200 m, scattered clouds (40-50%) 3000 m, broken clouds (60-90%) 4500 m",10.0 and more,3
28.12.2020 08:30,6,760.4,764.3,81,Wind blowing from the east-southeast,1,,,,"Few clouds (10-30%) 1200 m, scattered clouds (40-50%) 2400 m, broken clouds (60-90%) 3000 m",10.0 and more,3
27.12.2020 16:00,11,762.7,766.6,35,Wind blowing from the south-southeast,3,,,,Few clouds (10-30%) 900 m,10.0 and more,-4
27.12.2020 15:00,12,762,765.8,33,Wind blowing from the south-east,3,,,,Few clouds (10-30%) 900 m,10.0 and more,-4
27.12.2020 14:00,12,762,765.8,33,Wind blowing from the east-northeast,2,,,,Few clouds (10-30%) 900 m,10.0 and more,-4
27.12.2020 13:00,11,762.7,766.6,35,Wind blowing from the east,2,,,,Few clouds (10-30%) 900 m,10.0 and more,-4
27.12.2020 12:00,10,762.7,766.6,40,variable wind direction,1,,,,Few clouds (10-30%) 900 m,10.0 and more,-3
27.12.2020 11:00,9,763.4,767.3,43,Wind blowing from the north-northeast,2,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%)",10.0 and more,-3
27.12.2020 10:00,7,763.4,767.3,53,Wind blowing from the north-northeast,2,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 5100 m, broken clouds (60-90%)",10.0 and more,-2
27.12.2020 09:00,5,764.1,768.1,61,variable wind direction,1,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 5100 m, broken clouds (60-90%)",10.0 and more,-2
27.12.2020 08:30,4,763.3,767.3,65,variable wind direction,1,,,,"Few clouds (10-30%) 900 m, broken clouds (60-90%) 5100 m",10.0 and more,-2
26.12.2020 16:00,9,759.6,763.5,43,Wind blowing from the south-southeast,3,,,,"Few clouds (10-30%) 900 m, scattered clouds (40-50%)",10.0 and more,-3
