# Weather station Washington / Ronald Reagan (airport), USA, WMO_ID=72405,selection from 01.01.2020 till 01.01.2021, all days,,,,,,,,,,,,,,,,,,,,,,,,
# Encoding: ANSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The data is provided by the website ""Reliable Prognosis""", rp5.ru,,,,,,,,,,,,,,,,,,,,,,,,,,,
# If you use the data, please indicate the name of the website.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local time in Washington / Ronald Reagan (airport),T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
31.12.2020 22:00,5,770.5,772.1,1.3,62,Wind blowing from the north,6,,,70 � 80%., ,,,,,,,1500-2000,,,16,-1.7,Trace of precipitation,3,,,,
31.12.2020 19:00,6.1,769.2,770.8,3,65,Wind blowing from the north-northeast,4,,,100%., ,,,6.1,12.8,,,1000-1500,,,16,0,Trace of precipitation,6,,,,
31.12.2020 16:00,8.3,766.2,767.8,1.8,69,Wind blowing from the north,5,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,,,,,1500-2000,,,16,2.8,Trace of precipitation,3,,,,
31.12.2020 13:00,12.8,764.4,766,0,53,Wind blowing from the north,6,,,100%., ,,,5,12.8,,,1000-1500,,,16,3.3,,,,,,
31.12.2020 10:00,10,764.4,766,2.6,77,Wind blowing from the west-northwest,2,,,100%., ,,,,,,,300-600,,,16,6.1,,,,,,
31.12.2020 07:00,8.3,761.8,763.5,0.7,86,Wind blowing from the south,4,,,100%., ,,,5.6,8.3,,,1500-2000,,,16,6.1,,,,,,
31.12.2020 04:00,8.9,761.1,762.7,-0.5,83,Wind blowing from the south-southwest,5,,,100%., ,,,,,,,300-600,,,16,6.1,,,,,,
31.12.2020 01:00,7.8,761.6,763.3,-2,79,Wind blowing from the south,8,13,,100%., ,,,,7.8,,,300-600,,,16,4.4,,,,,,
30.12.2020 22:00,7.8,763.6,765.4,-1.8,50,Wind blowing from the south-southwest,7,,,100%., ,,,,,,,600-1000,,,16,-2.2,,,,,,
30.12.2020 19:00,5.6,765.4,766.9,-2.1,62,Wind blowing from the south,5,,,70 � 80%., ,,,0,7.8,,,"2500 or more, or no clouds.",,,16,-1.1,,,,,,
30.12.2020 16:00,7.2,767.5,769,-1.7,40,Wind blowing from the south-southwest,8,11,,70 � 80%., ,,,,,,,"2500 or more, or no clouds.",,,16,-5.6,,,,,,
30.12.2020 13:00,5.6,769.2,770.8,-4,40,Wind blowing from the south-southwest,7,,,70 � 80%., ,,,-0.6,6.1,,,"2500 or more, or no clouds.",,,16,-7.2,,,,,,
